–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,50/ 1   3,155   9,645   9,645   1112,701   9,449   30,670   834,102   571,558   69,118   167,889   0,000   0,000   0,000   2580,925      
0,50/ 2   6,310   19,290   19,290   556,351   4,724   15,335   417,051   285,779   34,559   83,944   0,000   0,000   0,000   1324,13      
0,50/ 3   9,465   28,934   28,934   370,900   3,150   10,223   278,034   190,519   23,039   55,963   0,000   0,000   0,000   920,159      
0,50/ 4   12,620   38,579   38,579   278,175   2,362   7,667   208,525   142,889   17,280   41,972   0,000   0,000   0,000   729,396      
0,50/ 5   15,776   48,224   48,224   222,540   1,890   6,134   166,820   114,312   13,824   33,578   0,000   0,000   0,000   623,92      
0,50/ 6   18,931   57,869   57,869   185,450   1,575   5,112   139,017   95,260   11,520   27,981   0,000   0,000   0,000   561,083      
0,50/ 7   22,086   67,514   67,514   158,957   1,350   4,381   119,157   81,651   9,874   23,984   0,000   0,000   0,000   522,61      
0,50/ 8   25,241   77,158   77,158   139,088   1,181   3,834   104,263   71,445   8,640   20,986   0,000   0,000   0,000   499,368      
0,50/ 9   28,396   86,803   86,803   123,633   1,050   3,408   92,678   63,506   7,680   18,654   0,000   0,000   0,000   486,277      
0,50/10   31,551   96,448   96,448   111,270   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   480,295      
0,50/11   34,706   106,093   106,093   101,155   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   479,481      
0,50/12   37,861   115,738   115,738   92,725   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   482,543      
0,50/13   41,016   125,382   125,382   85,592   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   488,586      
0,50/14   44,172   135,027   135,027   79,479   0,675   2,191   59,579   40,826   4,937   11,992   0,000   0,000   0,000   496,976      
0,50/15   47,327   144,672   144,672   74,180   0,630   2,045   55,607   38,104   4,608   11,193   0,000   0,000   0,000   507,237      
0,50/16   50,482   154,317   154,317   69,544   0,591   1,917   52,131   35,722   4,320   10,493   0,000   0,000   0,000   519,021      
0,50/17   53,637   163,962   163,962   65,453   0,556   1,804   49,065   33,621   4,066   9,876   0,000   0,000   0,000   532,06      
