–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,50/ 1   1,165   4,413   4,413   483,454   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   934,403      
0,50/ 2   2,330   8,827   8,827   241,727   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   482,19      
0,50/ 3   3,495   13,240   13,240   161,151   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   338,111      
0,50/ 4   4,660   17,653   17,653   120,864   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   271,069      
0,50/ 5   5,826   22,067   22,067   96,691   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   234,842      
0,50/ 6   6,991   26,480   26,480   80,576   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   214,02      
0,50/ 7   8,156   30,893   30,893   69,065   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   202,001      
0,50/ 8   9,321   35,306   35,306   60,432   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   195,485      
0,50/ 9   10,486   39,720   39,720   53,717   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   192,639      
0,50/10   11,651   44,133   44,133   48,345   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   192,358      
0,50/11   12,816   48,546   48,546   43,950   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   193,945      
0,50/12   13,981   52,960   52,960   40,288   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   196,936      
0,50/13   15,146   57,373   57,373   37,189   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   201      
0,50/14   16,312   61,786   61,786   34,532   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   205,913      
0,50/15   17,477   66,200   66,200   32,230   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   211,504      
0,50/16   18,642   70,613   70,613   30,216   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   217,643      
0,50/17   19,807   75,026   75,026   28,438   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   224,235      
0,50/18   20,972   79,439   79,439   26,859   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   231,206      
0,50/19   22,137   83,853   83,853   25,445   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   238,496      
0,33/ 1   1,165   2,939   2,939   321,980   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   769,981      
0,33/ 2   2,330   5,879   5,879   160,990   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   395,557      
0,33/ 3   3,495   8,818   8,818   107,327   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   275,443      
0,33/ 4   4,660   11,757   11,757   80,495   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   218,908      
0,33/ 5   5,826   14,696   14,696   64,396   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   187,805      
0,33/ 6   6,991   17,636   17,636   53,663   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   169,419      
0,33/ 7   8,156   20,575   20,575   45,997   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   158,297      
0,33/ 8   9,321   23,514   23,514   40,248   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   151,717      
0,33/ 9   10,486   26,453   26,453   35,776   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   148,164      
0,33/10   11,651   29,393   29,393   32,198   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   146,731      
0,33/11   12,816   32,332   32,332   29,271   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   146,838      
0,33/12   13,981   35,271   35,271   26,832   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   148,102      
0,33/13   15,146   38,210   38,210   24,768   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   150,253      
0,33/14   16,312   41,150   41,150   22,999   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   153,108      
0,33/15   17,477   44,089   44,089   21,465   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   156,517      
0,33/16   18,642   47,028   47,028   20,124   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   160,381      
0,33/17   19,807   49,967   49,967   18,940   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   164,619      
0,33/18   20,972   52,907   52,907   17,888   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   169,171      
0,33/19   22,137   55,846   55,846   16,946   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   173,983      
0,25/ 1   1,165   2,207   2,207   241,727   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   688,264      
0,25/ 2   2,330   4,413   4,413   120,864   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   352,499      
0,25/ 3   3,495   6,620   6,620   80,576   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   244,296      
0,25/ 4   4,660   8,827   8,827   60,432   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   192,985      
0,25/ 5   5,826   11,033   11,033   48,345   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   164,428      
0,25/ 6   6,991   13,240   13,240   40,288   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   147,252      
0,25/ 7   8,156   15,447   15,447   34,532   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   136,576      
0,25/ 8   9,321   17,653   17,653   30,216   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   129,963      
0,25/ 9   10,486   19,860   19,860   26,859   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   126,061      
0,25/10   11,651   22,067   22,067   24,173   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   124,054      
0,25/11   12,816   24,273   24,273   21,975   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   123,424      
0,25/12   13,981   26,480   26,480   20,144   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   123,832      
0,25/13   15,146   28,686   28,686   18,594   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   125,031      
0,25/14   16,312   30,893   30,893   17,266   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   126,861      
0,25/15   17,477   33,100   33,100   16,115   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   129,189      
0,25/16   18,642   35,306   35,306   15,108   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   131,921      
0,25/17   19,807   37,513   37,513   14,219   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   134,99      
0,25/18   20,972   39,720   39,720   13,429   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   138,338      
0,25/19   22,137   41,926   41,926   12,722   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   141,919      
0,20/ 1   1,165   1,765   1,765   193,382   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   639,035      
0,20/ 2   2,330   3,531   3,531   96,691   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   326,562      
0,20/ 3   3,495   5,296   5,296   64,461   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   225,533      
0,20/ 4   4,660   7,061   7,061   48,345   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   177,366      
0,20/ 5   5,826   8,827   8,827   38,676   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   150,347      
0,20/ 6   6,991   10,592   10,592   32,230   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   133,898      
0,20/ 7   8,156   12,357   12,357   27,626   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   123,49      
0,20/ 8   9,321   14,123   14,123   24,173   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   116,86      
0,20/ 9   10,486   15,888   15,888   21,487   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   112,745      
